nom;group;mat_polok;h;n;s;p
Холодильник Maunfeld MFF83B;Холодильники;Закаленное стекло;83;2;64;12730
Холодильник Samsung RB-33A3440SA;Холодильники;Закаленное стекло;185;4;64;48500
Холодильник Indesit ITR 4180E;Холодильники;Закаленное стекло;185;4;66;35050
Холодильник Бирюса 880NF;Холодильники;Закаленное стекло;207;4;67;31190
Холодильник Бирюса М70;Холодильники;Металл;63;2;67;11190
Холодильник Indesit DS 4180G;Холодильники;Закаленное стекло;185;3;68;30180
Холодильник Samsung BRB30715EWW;Холодильники;Закаленное стекло;194;5;69;109740
Холодильник Don R-405 B;Холодильники;Металл/стекло;85;2;71;16580
Холодильник LG GC-B459SEUM;Холодильники;Закаленное стекло;186;3;71;51650
Холодильник Beko B5RCNK363ZW;Холодильники;Закаленное стекло;186;3;72;42290
Холодильник Hotpoint HT 4180 S;Холодильники;Закаленное стекло;185;4;74;33390
Холодильник LG GC-B509MEWM;Холодильники;Закаленное стекло;203;4;74;59140
Холодильник Manya SBS184NGS;Холодильники;Закаленное стекло;182;4;74;64400
Холодильник Бирюса 90;Холодильники;Металл;85;3;75;14140
Холодильник Бирюса М90;Холодильники;Металл;85;3;75;14280
Холодильник Beko B1RCSK332W;Холодильники;Закаленное стекло;201;4;76;30040
Холодильник Manya SBS184NGW;Холодильники;Закаленное стекло;182;4;77;72200
Холодильник LG GC-Q22FTBKL;Холодильники;Закаленное стекло;179;3;78;145370
Холодильник Indesit ITS 4200G;Холодильники;Закаленное стекло;196;4;79;35190
Холодильник Comfee RCD98WH1R;Холодильники;Закаленное стекло;63;2;80;10340
Холодильник Midea MDRB470MGF01O;Холодильники;Закаленное стекло;185;3;80;40510
Холодильник Midea MDRB521MIE46OD;Холодильники;Закаленное стекло;202;3;81;48690
Холодильник LG GC-B401FEPM+Морозильник LG GC-B404FEQM;Холодильники;Закаленное стекло;186;5;82;176340
Холодильник Бирюса 118;Холодильники;Закаленное стекло;145;3;82;23680
Холодильник Beko CSMV5335MC0S;Холодильники;Закаленное стекло;201;4;83;30260
Холодильник LG GA-B509CQSL;Холодильники;Закаленное стекло;203;5;83;58950
Холодильник Бирюса 95;Холодильники;Закаленное стекло;86;3;83;14140
Холодильник Manya SBS191MNGGZ1;Холодильники;Закаленное стекло;189;4;84;66490
Холодильник LG GC-B257SEZV;Холодильники;Закаленное стекло;179;4;85;106650
Холодильник Бирюса 6;Холодильники;Закаленное стекло;145;4;85;21240
Холодильник LG GC-B569PMCM;Холодильники;Закаленное стекло;185;3;86;83350
Холодильник Beko B1RCSK312W;Холодильники;Закаленное стекло;184;4;87;28970
Холодильник Indesit TIA 16 G;Холодильники;Закаленное стекло;167;4;88;26000
Холодильник LG GC-B459SBUM;Холодильники;Закаленное стекло;186;3;89;51650
Холодильник Бирюса 109;Холодильники;Закаленное стекло;87;3;89;15770
Холодильник Бирюса 151;Холодильники;Закаленное стекло;145;3;90;24290
Холодильник Indesit TIA 14;Холодильники;Закаленное стекло;145;3;91;24340
Холодильник Atlant 6023-031;Холодильники;Закаленное стекло;195;4;92;34830
Холодильник Indesit ITR 4200E;Холодильники;Закаленное стекло;195;4;92;37970
Холодильник Indesit ITS 4180G;Холодильники;Закаленное стекло;185;4;92;30740
Холодильник Beko B5RCNK363ZXBR;Холодильники;Закаленное стекло;186;3;93;41510
Холодильник Beko DSMV5280MA0W;Холодильники;Закаленное стекло;160;4;93;24430
Холодильник Hotpoint HT 5200 AB;Холодильники;Закаленное стекло;196;4;93;39390
Холодильник Beko CSKW310M20W;Холодильники;Закаленное стекло;184;4;95;26910
Холодильник Hotpoint HT 4200 AB;Холодильники;Закаленное стекло;196;4;95;37600
Холодильник Don R-226B (Белый);Холодильники;Закаленное стекло;154;4;96;25410
Холодильник Manya SBS191MNGBZ1;Холодильники;Закаленное стекло;189;4;97;66490
Холодильник Comfee RCT284WH1R;Холодильники;Закаленное стекло;143;4;98;19950
Холодильник Indesit ITR 4200S;Холодильники;Закаленное стекло;195;4;98;33030
Холодильник LG GA-B509CLSL;Холодильники;Закаленное стекло;203;5;98;60750
Холодильник Hotpoint HT 5200 S;Холодильники;Закаленное стекло;196;4;103;38030
Холодильник LG GA-B509DQXL;Холодильники;Закаленное стекло;203;5;103;59950
Холодильник Manya SBS191MNGSZ1;Холодильники;Закаленное стекло;189;4;104;66490
Холодильник Саратов 284;Холодильники;Закаленное стекло;149;3;105;22900
Холодильник Hotpoint HT 5200 W;Холодильники;Закаленное стекло;196;4;109;37140
Холодильник Indesit ITS 5200G;Холодильники;Закаленное стекло;196;4;109;37750
Холодильник LG GC-B257SBZV;Холодильники;Закаленное стекло;179;4;109;109950
Холодильник Beko RDSK240M00S;Холодильники;Закаленное стекло;146;4;111;24010
Холодильник Manya RB205NGW;Холодильники;Закаленное стекло;200;4;111;53650
Холодильник Don R-216B (Белый);Холодильники;Закаленное стекло;142;4;113;24220
Холодильник Don R-296B (Белый);Холодильники;Закаленное стекло;191;3;114;32050
Холодильник LG GC-B509SBSM;Холодильники;Закаленное стекло;203;4;116;64550
Холодильник Саратов 452;Холодильники;Пластик;90;2;116;16480
Холодильник Саратов 549;Холодильники;Закаленное стекло;117;4;116;16720
Холодильник Don R-299B (Белый);Холодильники;Закаленное стекло;216;5;120;32800
Холодильник Midea MDRB521MIE28OD;Холодильники;Закаленное стекло;202;3;124;47920
Холодильник LG GC-B569PBCM;Холодильники;Закаленное стекло;185;3;125;83350
Холодильник Indesit ITS 5200NG;Холодильники;Закаленное стекло;196;4;127;35560
Холодильник LG GC-B459MQWM;Холодильники;Закаленное стекло;186;3;127;53160
Холодильник Manya RB205NGS;Холодильники;Закаленное стекло;200;4;127;53690
Холодильник Бирюса 108;Холодильники;Закаленное стекло;87;2;129;16180
Холодильник LG GA-B509CESL;Холодильники;Закаленное стекло;203;5;131;60770
Холодильник LG GC-B257JEYV;Холодильники;Закаленное стекло;179;4;131;89650
Холодильник Atlant 1602-100;Холодильники;Закаленное стекло;187;6;134;32070
Холодильник Бирюса 110;Холодильники;Закаленное стекло;123;3;134;18260
Холодильник Бирюса 122;Холодильники;Закаленное стекло;123;3;136;21820
Холодильник Beko B1RCNK312W;Холодильники;Закаленное стекло;184;4;137;34190
Холодильник Manya RB205NGB;Холодильники;Закаленное стекло;200;4;137;53170
Холодильник Indesit ITR 4160W;Холодильники;Закаленное стекло;167;3;138;29150
Холодильник LG GC-B257JLYV;Холодильники;Закаленное стекло;179;4;146;89650
Холодильник Midea MDRB521MIE01OD;Холодильники;Закаленное стекло;202;3;146;39190
Холодильник Beko RCNK270K20S;Холодильники;Закаленное стекло;171;3;147;33000
Холодильник Hotpoint HBT 20I;Холодильники;Закаленное стекло;194;4;151;76150
Холодильник LG GC-B459MEWM;Холодильники;Закаленное стекло;186;3;153;54200
Холодильник Hotpoint HT 4180 AB;Холодильники;Закаленное стекло;185;4;154;33120
Холодильник Beko BCNA306E2S;Холодильники;Закаленное стекло;194;4;156;68330
Холодильник Hotpoint HT 7201I W O3;Холодильники;Закаленное стекло;196;5;156;41920
Холодильник Саратов 264;Холодильники;Закаленное стекло;123;3;157;19760
Холодильник LG GC-B509SASM;Холодильники;Закаленное стекло;203;4;162;67770
Холодильник Midea MDRB521MIE33OD;Холодильники;Закаленное стекло;202;3;163;42120
Холодильник LG GC-B459MLWM;Холодильники;Закаленное стекло;186;3;168;54200
Холодильник LG GC-B569PECM;Холодильники;Закаленное стекло;185;3;170;80050
Холодильник Бирюса 70;Холодильники;Металл;63;2;171;11030
Холодильник Don R-291B (Белый);Холодильники;Закаленное стекло;181;4;173;29730
Холодильник Indesit TIA 16;Холодильники;Закаленное стекло;167;4;175;24000
Холодильник Beko RCNK335K00W;Холодильники;Закаленное стекло;201;4;177;32480
Холодильник Бирюса 8;Холодильники;Закаленное стекло;85;2;177;17170
Холодильник Don R-290B (Белый);Холодильники;Закаленное стекло;171;3;181;27770
Холодильник Don R-295B (Белый);Холодильники;Закаленное стекло;196;5;190;31130
Холодильник Beko RCNK270K20W;Холодильники;Закаленное стекло;171;3;199;33760
Холодильник Indesit DS 4200W;Холодильники;Закаленное стекло;200;4;212;30810
Холодильник Don R-297B (Белый);Холодильники;Закаленное стекло;201;4;213;32060
Холодильник Gorenje R291PW4;Холодильники;Закаленное стекло;84;2;215;13450
Холодильник LG GC-B509SESM;Холодильники;Закаленное стекло;203;4;216;55650
Холодильник Саратов 263;Холодильники;Закаленное стекло;149;4;219;21240
Холодильник LG GC-B509SQSM;Холодильники;Закаленное стекло;203;4;225;58650
Холодильник Indesit ITR 5200W;Холодильники;Закаленное стекло;196;4;227;36110
Холодильник Саратов 451;Холодильники;Пластик/стекло;117;3;244;17740
Холодильник Beko RCSK270M20W;Холодильники;Закаленное стекло;171;3;252;26590
Холодильник LG GA-B509SQKL;Холодильники;Закаленное стекло;203;5;254;59100
Холодильник Beko RCNK310KC0W;Холодильники;Закаленное стекло;184;4;270;30620
Холодильник Beko RDSK240M00W;Холодильники;Закаленное стекло;146;4;272;24180
Холодильник LG GC-B509SLCL;Холодильники;Закаленное стекло;203;5;289;61850
Холодильник LG GC-B509SMUM;Холодильники;Закаленное стекло;203;4;303;73800
Холодильник LG GC-B509SQCL;Холодильники;Закаленное стекло;203;5;304;58450
Холодильник Indesit DS 4160W;Холодильники;Закаленное стекло;167;3;323;25030
Холодильник LG GC-B459SQCL;Холодильники;Закаленное стекло;186;4;325;51800
Холодильник Beko RCSK250M00W;Холодильники;Закаленное стекло;158;3;327;24690
Холодильник LG GC-B459SLCL;Холодильники;Закаленное стекло;186;4;338;53150
Холодильник Бирюса 50;Холодильники;Металл;49;1;348;8910
Холодильник LG GC-B459SECL;Холодильники;Закаленное стекло;186;4;354;52650
Холодильник Beko B5RCNK403ZWB;Холодильники;Закаленное стекло;201;4;359;46870
Холодильник LG GC-B509SEUM;Холодильники;Закаленное стекло;203;4;365;66650
Холодильник LG GA-B509CLWL;Холодильники;Закаленное стекло;203;5;380;61350
Холодильник LG GC-B509SBUM;Холодильники;Закаленное стекло;203;4;417;73800
Холодильник LG GC-B509SECL;Холодильники;Закаленное стекло;203;5;420;56500
Холодильник Indesit DS 4180W;Холодильники;Закаленное стекло;185;3;465;27310
Холодильник Indesit ITR 4200W;Холодильники;Закаленное стекло;200;4;505;34200
Холодильник Beko B5RCNK403ZW;Холодильники;Закаленное стекло;201;4;959;40780
Холодильник Beko B5RCNK403ZXBR;Холодильники;Закаленное стекло;201;4;1097;42270
Холодильник Beko B3RCNK402HW;Холодильники;Закаленное стекло;201;4;1112;38060
Холодильник Beko B3RCNK402HX;Холодильники;Закаленное стекло;201;4;1279;39240
Холодильник Indesit ITR 4180W;Холодильники;Закаленное стекло;185;4;1413;29930
